dataset,grouping,subID,condition,n_trials,ct_slope,sdi_slope
manuscript_exp2_fixed,current_coherence_label,169207,Low,113,-0.41335920929911263,0.020202533362046245
manuscript_exp2_fixed,current_coherence_label,183923,High,110,-0.3374093230848315,-0.040700216314178916
manuscript_exp2_fixed,current_coherence_label,183923,Low,103,-0.07908992621182556,0.09959637257834458
manuscript_exp2_fixed,current_coherence_label,184189,High,102,-0.324076326087706,0.10555959254533395
manuscript_exp2_fixed,current_coherence_label,184189,Low,105,-0.43080467200680406,0.21077147477650077
manuscript_exp2_fixed,current_coherence_label,189058,High,112,-0.47986601899980497,0.21377878443825502
manuscript_exp2_fixed,current_coherence_label,189058,Low,108,-0.44751450197299714,0.1968457363792396
manuscript_exp2_fixed,current_coherence_label,194491,High,102,-0.6954769428168184,0.11255761686839948
manuscript_exp2_fixed,current_coherence_label,194491,Low,96,-0.8439115617415719,0.10345761937483605
manuscript_exp2_fixed,current_coherence_label,203316,High,108,-0.37223774788486014,0.06267471586543862
manuscript_exp2_fixed,current_coherence_label,203316,Low,113,-0.49925753301152126,0.05514779424871943
manuscript_exp2_fixed,current_coherence_label,298043,High,110,-0.4468366847487284,0.021884565367839233
manuscript_exp2_fixed,current_coherence_label,298043,Low,104,-0.560417146528862,0.08825412702593897
manuscript_exp2_fixed,current_coherence_label,372056,High,95,-0.7234820664440573,0.0815449630016231
manuscript_exp2_fixed,current_coherence_label,372056,Low,91,-0.5676228272863633,0.3295157661015179
manuscript_exp2_fixed,current_coherence_label,469417,High,104,-0.4069622450871708,0.19541552436077414
manuscript_exp2_fixed,current_coherence_label,469417,Low,97,-0.3910594177537384,0.09136585227850455
manuscript_exp2_fixed,current_coherence_label,551900,High,111,-0.45320618911613186,0.060167012145808295
manuscript_exp2_fixed,current_coherence_label,551900,Low,113,-0.5639838018004305,0.08215453518242355
manuscript_exp2_fixed,current_coherence_label,555268,High,102,-0.3792769462694626,0.047505990787180555
manuscript_exp2_fixed,current_coherence_label,555268,Low,105,-0.4687448733195786,0.09826892673636455
manuscript_exp2_fixed,current_coherence_label,611856,High,115,-0.19889312167881074,0.028061740313674248
manuscript_exp2_fixed,current_coherence_label,611856,Low,114,-0.29873726611882667,0.061969201612652874
manuscript_exp2_fixed,current_coherence_label,624708,High,95,-0.5855476970319605,0.0955368369230223
manuscript_exp2_fixed,current_coherence_label,624708,Low,97,-0.6893321948120585,0.26914173095094496
manuscript_exp2_fixed,current_coherence_label,742322,High,110,-0.6040810044570741,0.1181771886031586
manuscript_exp2_fixed,current_coherence_label,742322,Low,104,-0.7090180886171825,0.17673724096515891
manuscript_exp2_fixed,current_coherence_label,753780,High,95,-0.4669938780930062,0.07464574172757016
manuscript_exp2_fixed,current_coherence_label,753780,Low,96,-0.7217980001993674,-0.029427644995321744
manuscript_exp2_fixed,current_coherence_label,815266,High,113,-0.5042728361687445,0.10568016616184393
