exp,Sub,source,grouping,condition,controlled_sdi
1,994851,Reproduction,current_uncertainty,HighUncertainty,0.0692125573424155
1,994851,Reproduction,current_uncertainty,LowUncertainty,0.0101468080662228
1,994851,Reproduction,SameSwitch,Repeat,-0.0164178759102995
1,994851,Reproduction,SameSwitch,Switch,0.0553037563935354
1,994851,pred,current_uncertainty,HighUncertainty,0.0768023190806504
1,994851,pred,current_uncertainty,LowUncertainty,0.0618946264644867
1,994851,pred,SameSwitch,Repeat,0.0586053026239187
1,994851,pred,SameSwitch,Switch,0.0525998604839982
2,2046,Reproduction,current_uncertainty,HighUncertainty,0.1014441593565965
2,2046,Reproduction,current_uncertainty,LowUncertainty,0.0293497139171067
2,2046,Reproduction,SameSwitch,Repeat,0.1160660007168427
2,2046,Reproduction,SameSwitch,Switch,0.0318181612575862
2,2046,pred,current_uncertainty,HighUncertainty,0.0591984417145263
2,2046,pred,current_uncertainty,LowUncertainty,0.0781863576956486
2,2046,pred,SameSwitch,Repeat,0.0811647233795961
2,2046,pred,SameSwitch,Switch,0.0608859862585902
2,62573,Reproduction,current_uncertainty,HighUncertainty,0.0964198313614035
2,62573,Reproduction,current_uncertainty,LowUncertainty,0.02654755737363
2,62573,Reproduction,SameSwitch,Repeat,0.0773722777719177
2,62573,Reproduction,SameSwitch,Switch,0.0519008054025871
2,62573,pred,current_uncertainty,HighUncertainty,0.0727513450648086
2,62573,pred,current_uncertainty,LowUncertainty,0.0640191184889254
2,62573,pred,SameSwitch,Repeat,0.0646928591757185
2,62573,pred,SameSwitch,Switch,0.0685861404647463
2,82622,Reproduction,current_uncertainty,HighUncertainty,0.037120063068857
2,82622,Reproduction,current_uncertainty,LowUncertainty,0.1958421996385152
2,82622,Reproduction,SameSwitch,Repeat,0.0906794467218751
2,82622,Reproduction,SameSwitch,Switch,0.1147636043438569
2,82622,pred,current_uncertainty,HighUncertainty,0.1391988802861755
2,82622,pred,current_uncertainty,LowUncertainty,0.1496795987595232
2,82622,pred,SameSwitch,Repeat,0.1476039192384
2,82622,pred,SameSwitch,Switch,0.1438549029320466
2,118354,Reproduction,current_uncertainty,HighUncertainty,0.117685877602797
2,118354,Reproduction,current_uncertainty,LowUncertainty,0.0778053671711083
2,118354,Reproduction,SameSwitch,Repeat,0.0432787841221551
2,118354,Reproduction,SameSwitch,Switch,0.1188387912960574
2,118354,pred,current_uncertainty,HighUncertainty,0.0428768204274394
2,118354,pred,current_uncertainty,LowUncertainty,0.0773900379076137
2,118354,pred,SameSwitch,Repeat,0.0652646123560364
2,118354,pred,SameSwitch,Switch,0.0399329294524136
2,169207,Reproduction,current_uncertainty,HighUncertainty,0.0415632181446676
2,169207,Reproduction,current_uncertainty,LowUncertainty,0.179243333590666
2,169207,Reproduction,SameSwitch,Repeat,0.1345467574629752
2,169207,Reproduction,SameSwitch,Switch,0.0935169168770654
2,169207,pred,current_uncertainty,HighUncertainty,0.108343215900796
2,169207,pred,current_uncertainty,LowUncertainty,0.1224681575685358
2,169207,pred,SameSwitch,Repeat,0.1167790353682058
2,169207,pred,SameSwitch,Switch,0.1140587419673802
2,183923,Reproduction,current_uncertainty,HighUncertainty,0.031975215483891
2,183923,Reproduction,current_uncertainty,LowUncertainty,-0.0799614841687922
2,183923,Reproduction,SameSwitch,Repeat,0.0122982235236471
2,183923,Reproduction,SameSwitch,Switch,-0.0646279373188348
2,183923,pred,current_uncertainty,HighUncertainty,0.0199685613933515
2,183923,pred,current_uncertainty,LowUncertainty,0.0785027408146006
2,183923,pred,SameSwitch,Repeat,0.0467191662287307
