dataset,lag,predictor,condition,subID,slope
experiment1,2,postDur2,High,312070,0.13439979680964748
experiment1,2,postDur2,Low,312070,-0.01619635502719341
experiment1,2,postDur2,High,328537,-0.026945731174962847
experiment1,2,postDur2,Low,328537,-0.07529231514088071
experiment1,2,postDur2,High,349889,0.017971793194522617
experiment1,2,postDur2,Low,349889,0.04087299376432891
experiment1,2,postDur2,High,384894,-0.06356345969532391
experiment1,2,postDur2,Low,384894,0.14162986405710382
experiment1,2,postDur2,High,658375,-0.03358805380113383
experiment1,2,postDur2,Low,658375,0.06842346678877406
experiment1,2,postDur2,High,730111,-0.04980347367854069
experiment1,2,postDur2,Low,730111,-0.04631962751496362
experiment1,2,postDur2,High,743968,0.005805592578210981
experiment1,2,postDur2,Low,743968,-0.029745892536747854
experiment1,2,postDur2,High,785063,-0.061392557789104275
experiment1,2,postDur2,Low,785063,0.04286077408981294
experiment1,2,postDur2,High,785667,0.05625128160352673
experiment1,2,postDur2,Low,785667,-0.09025054447123002
experiment1,2,postDur2,High,787955,0.017917757924509302
experiment1,2,postDur2,Low,787955,-0.04749303717698029
experiment1,2,postDur2,High,803870,-0.01052244834258435
experiment1,2,postDur2,Low,803870,0.1346264543559929
experiment1,2,postDur2,High,820531,0.05678027615545116
experiment1,2,postDur2,Low,820531,-0.04914928804441682
experiment1,2,postDur2,High,828098,0.06038123233691989
experiment1,2,postDur2,Low,828098,0.11374275450560176
experiment1,2,postDur2,High,882052,0.018071590901776634
experiment1,2,postDur2,Low,882052,0.022213378184312738
experiment1,2,postDur2,High,897347,0.08103523818412095
experiment1,2,postDur2,Low,897347,0.023564163233995433
experiment1,2,postDur2,High,919598,-0.018478755448950262
experiment1,2,postDur2,Low,919598,-0.06847884541249027
experiment1,2,postDur2,High,994851,0.054417612691682195
experiment1,2,postDur2,Low,994851,0.007612941716199029
experiment2,-3,preDur3back,Same,002046,0.06921428004753676
experiment2,-3,preDur3back,Switch,002046,-0.03043639286053061
experiment2,-3,preDur3back,Same,062573,-0.045146160479008046
experiment2,-3,preDur3back,Switch,062573,0.006596525851966936
experiment2,-3,preDur3back,Same,082622,0.024407625484956202
experiment2,-3,preDur3back,Switch,082622,0.032267483579897366
experiment2,-3,preDur3back,Same,118354,0.0667353388464014
experiment2,-3,preDur3back,Switch,118354,0.1325360825665538
experiment2,-3,preDur3back,Same,169207,0.046518948863604526
experiment2,-3,preDur3back,Switch,169207,-0.0029858590210511187
experiment2,-3,preDur3back,Same,183923,0.18427013700381173
experiment2,-3,preDur3back,Switch,183923,-0.0010859029451704694
experiment2,-3,preDur3back,Same,184189,-0.0858298887252068
experiment2,-3,preDur3back,Switch,184189,0.05719208839144412
experiment2,-3,preDur3back,Same,189058,0.0330112450907568
experiment2,-3,preDur3back,Switch,189058,0.032202850529622906
experiment2,-3,preDur3back,Same,194491,-0.03326407276011756
experiment2,-3,preDur3back,Switch,194491,-0.17639567437290826
experiment2,-3,preDur3back,Same,203316,0.00412003997270162
experiment2,-3,preDur3back,Switch,203316,0.044394674580951574
experiment2,-3,preDur3back,Same,298043,0.04026455767609814
experiment2,-3,preDur3back,Switch,298043,0.22712517474990193
experiment2,-3,preDur3back,Same,372056,0.04923215709995655
experiment2,-3,preDur3back,Switch,372056,-0.03553579630045069
experiment2,-3,preDur3back,Same,469417,-0.042468498380744575
experiment2,-3,preDur3back,Switch,469417,0.12559622438206014
experiment2,-3,preDur3back,Same,551900,0.03792708759096699
experiment2,-3,preDur3back,Switch,551900,-0.07921293057886614
experiment2,-3,preDur3back,Same,555268,0.03332413619398704
experiment2,-3,preDur3back,Switch,555268,-0.054576028461908364
experiment2,-3,preDur3back,Same,611856,-0.0002184890338943112
experiment2,-3,preDur3back,Switch,611856,0.027104515448212352
experiment2,-3,preDur3back,Same,624708,0.05477596436234258
experiment2,-3,preDur3back,Switch,624708,-0.07619190741879402
experiment2,-3,preDur3back,Same,742322,0.04128569849771201
experiment2,-3,preDur3back,Switch,742322,-0.04878694692889739
experiment2,-3,preDur3back,Same,753780,-0.13381791277176924
experiment2,-3,preDur3back,Switch,753780,0.01970004827650626
experiment2,-3,preDur3back,Same,815266,0.0606092399369092
experiment2,-3,preDur3back,Switch,815266,-0.07855578483734552
experiment2,-3,preDur3back,Same,885939,0.0383065779501371
experiment2,-3,preDur3back,Switch,885939,-0.056180832519712315
experiment2,-3,preDur3back,Same,898122,-0.2278210594758616
experiment2,-3,preDur3back,Switch,898122,0.0024893376178369347
experiment2,-2,preDur2back,Same,002046,0.033721275525363664
experiment2,-2,preDur2back,Switch,002046,0.05108493471133348
experiment2,-2,preDur2back,Same,062573,0.0867421724599322
experiment2,-2,preDur2back,Switch,062573,0.05569897189081559
experiment2,-2,preDur2back,Same,082622,0.09838546722791744
experiment2,-2,preDur2back,Switch,082622,0.14427375690607794
experiment2,-2,preDur2back,Same,118354,0.1463225121826538
experiment2,-2,preDur2back,Switch,118354,0.11089214802523284
experiment2,-2,preDur2back,Same,169207,-0.05016952932276297
experiment2,-2,preDur2back,Switch,169207,0.09536468794745653
experiment2,-2,preDur2back,Same,183923,0.07581835584684839
experiment2,-2,preDur2back,Switch,183923,0.0950049059547847
experiment2,-2,preDur2back,Same,184189,0.048792465805477137
experiment2,-2,preDur2back,Switch,184189,0.16247513345641304
experiment2,-2,preDur2back,Same,189058,0.08220415657788545
experiment2,-2,preDur2back,Switch,189058,0.028504240396075516
experiment2,-2,preDur2back,Same,194491,0.10161379675353438
experiment2,-2,preDur2back,Switch,194491,3.671247758950391e-05
experiment2,-2,preDur2back,Same,203316,0.0563780623051013
experiment2,-2,preDur2back,Switch,203316,0.06820850382033501
experiment2,-2,preDur2back,Same,298043,0.04901761045807043
experiment2,-2,preDur2back,Switch,298043,0.04819477352249812
experiment2,-2,preDur2back,Same,372056,0.12818791222729606
experiment2,-2,preDur2back,Switch,372056,0.16207508613835128
experiment2,-2,preDur2back,Same,469417,0.1411449874845342
experiment2,-2,preDur2back,Switch,469417,0.011786172847029422
experiment2,-2,preDur2back,Same,551900,0.04816773724994742
experiment2,-2,preDur2back,Switch,551900,-0.007462303264403387
experiment2,-2,preDur2back,Same,555268,0.053942915091636
experiment2,-2,preDur2back,Switch,555268,0.13489080499523648
experiment2,-2,preDur2back,Same,611856,0.05125658962362003
experiment2,-2,preDur2back,Switch,611856,-0.018066693565196027
experiment2,-2,preDur2back,Same,624708,0.026570310095577122
experiment2,-2,preDur2back,Switch,624708,0.09181578197000081
experiment2,-2,preDur2back,Same,742322,0.05343174177278737
experiment2,-2,preDur2back,Switch,742322,0.04461693425091476
experiment2,-2,preDur2back,Same,753780,0.11158538017043677
experiment2,-2,preDur2back,Switch,753780,0.08083733001292687
experiment2,-2,preDur2back,Same,815266,0.15167678454837955
experiment2,-2,preDur2back,Switch,815266,0.020303479342692537
experiment2,-2,preDur2back,Same,885939,-0.04453989291411429
experiment2,-2,preDur2back,Switch,885939,0.1474607696823784
experiment2,-2,preDur2back,Same,898122,0.017133586913387212
experiment2,-2,preDur2back,Switch,898122,0.09035234565808212
experiment2,-1,preDur1back,Same,002046,0.08563536081685177
experiment2,-1,preDur1back,Switch,002046,-1.9514552353588205e-05
experiment2,-1,preDur1back,Same,062573,0.11960664630197862
experiment2,-1,preDur1back,Switch,062573,0.10638383865008118
experiment2,-1,preDur1back,Same,082622,0.09657846732884225
experiment2,-1,preDur1back,Switch,082622,0.0750094060114501
experiment2,-1,preDur1back,Same,118354,0.11031203536734374
experiment2,-1,preDur1back,Switch,118354,0.028535384862107317
experiment2,-1,preDur1back,Same,169207,0.12085334572185735
experiment2,-1,preDur1back,Switch,169207,0.04812780068419269
experiment2,-1,preDur1back,Same,183923,0.02129903648218885
experiment2,-1,preDur1back,Switch,183923,0.026214678545997763
experiment2,-1,preDur1back,Same,184189,0.1894854444285226
experiment2,-1,preDur1back,Switch,184189,0.13664855363905531
experiment2,-1,preDur1back,Same,189058,0.20455703441671544
experiment2,-1,preDur1back,Switch,189058,0.18592423887731488
experiment2,-1,preDur1back,Same,194491,0.06362753618501629
experiment2,-1,preDur1back,Switch,194491,0.14006649936965404
experiment2,-1,preDur1back,Same,203316,0.0816141718556237
experiment2,-1,preDur1back,Switch,203316,0.029484699974317973
experiment2,-1,preDur1back,Same,298043,0.05368883197077334
experiment2,-1,preDur1back,Switch,298043,0.03793103062202138
experiment2,-1,preDur1back,Same,372056,0.21614479248419302
experiment2,-1,preDur1back,Switch,372056,0.2071500774925571
experiment2,-1,preDur1back,Same,469417,0.1771968624865898
experiment2,-1,preDur1back,Switch,469417,0.13612634324916079
experiment2,-1,preDur1back,Same,551900,0.07240567451063386
experiment2,-1,preDur1back,Switch,551900,0.0633995057298902
experiment2,-1,preDur1back,Same,555268,0.08113700449775592
experiment2,-1,preDur1back,Switch,555268,0.10588704181800596
experiment2,-1,preDur1back,Same,611856,0.10923044905364501
experiment2,-1,preDur1back,Switch,611856,-0.00958648503782996
experiment2,-1,preDur1back,Same,624708,0.24756234182554404
experiment2,-1,preDur1back,Switch,624708,0.11821247081648302
experiment2,-1,preDur1back,Same,742322,0.155313384633787
experiment2,-1,preDur1back,Switch,742322,0.13245362513807288
experiment2,-1,preDur1back,Same,753780,-0.029162936086686783
experiment2,-1,preDur1back,Switch,753780,0.040374652439760114
experiment2,-1,preDur1back,Same,815266,0.05982459963083941
experiment2,-1,preDur1back,Switch,815266,0.08480723912747243
experiment2,-1,preDur1back,Same,885939,0.17270928042912967
experiment2,-1,preDur1back,Switch,885939,0.2203075982568427
experiment2,-1,preDur1back,Same,898122,-0.036597173481198814
experiment2,-1,preDur1back,Switch,898122,-0.154162530291954
experiment2,1,postDur1,Same,002046,0.09729752587082263
experiment2,1,postDur1,Switch,002046,-0.06387259196527759
experiment2,1,postDur1,Same,062573,-0.032526219090213415
experiment2,1,postDur1,Switch,062573,-0.04896287851859378
experiment2,1,postDur1,Same,082622,0.007590720845114596
experiment2,1,postDur1,Switch,082622,-0.00010931736121358664
experiment2,1,postDur1,Same,118354,-0.13375311629884495
experiment2,1,postDur1,Switch,118354,-0.21764042003740922
experiment2,1,postDur1,Same,169207,0.061380433395975986
experiment2,1,postDur1,Switch,169207,-0.0450027119077012
experiment2,1,postDur1,Same,183923,0.05676089351976233
experiment2,1,postDur1,Switch,183923,-0.0033696690968052978
experiment2,1,postDur1,Same,184189,-0.09473866589218519
experiment2,1,postDur1,Switch,184189,0.0025466704643710564
experiment2,1,postDur1,Same,189058,0.13732925096365176
experiment2,1,postDur1,Switch,189058,-0.039844406445090456
experiment2,1,postDur1,Same,194491,0.1512171899285045
experiment2,1,postDur1,Switch,194491,0.09089259088463675
experiment2,1,postDur1,Same,203316,-0.02582830584235672
experiment2,1,postDur1,Switch,203316,-0.005062192363296157
experiment2,1,postDur1,Same,298043,-0.042147113692646884
experiment2,1,postDur1,Switch,298043,-0.09622300683956216
experiment2,1,postDur1,Same,372056,-0.2039126325925235
experiment2,1,postDur1,Switch,372056,0.14175703677867668
experiment2,1,postDur1,Same,469417,0.2278385385271533
experiment2,1,postDur1,Switch,469417,0.05968904794512049
experiment2,1,postDur1,Same,551900,-0.009318454289378518
experiment2,1,postDur1,Switch,551900,-0.03286477385609888
experiment2,1,postDur1,Same,555268,-0.031263835960505734
experiment2,1,postDur1,Switch,555268,-0.14347823442945282
experiment2,1,postDur1,Same,611856,-0.04837229690247841
experiment2,1,postDur1,Switch,611856,-0.005447216550925312
experiment2,1,postDur1,Same,624708,0.024986294954309398
experiment2,1,postDur1,Switch,624708,0.0747910520106827
experiment2,1,postDur1,Same,742322,-0.07645212055846445
experiment2,1,postDur1,Switch,742322,0.018067458450928258
experiment2,1,postDur1,Same,753780,0.1451701113777421
experiment2,1,postDur1,Switch,753780,0.011634781103659064
experiment2,1,postDur1,Same,815266,0.017231797592467537
experiment2,1,postDur1,Switch,815266,-0.08310439745513691
experiment2,1,postDur1,Same,885939,-0.034307291736730916
experiment2,1,postDur1,Switch,885939,0.10937340874504485
experiment2,1,postDur1,Same,898122,0.16892224741794915
experiment2,1,postDur1,Switch,898122,-0.07021327864649712
experiment2,2,postDur2,Same,002046,-0.04471574928548666
experiment2,2,postDur2,Switch,002046,-0.031170370356382565
experiment2,2,postDur2,Same,062573,-0.0094588404611773
experiment2,2,postDur2,Switch,062573,0.008374172660386795
experiment2,2,postDur2,Same,082622,-0.025358875319734228
experiment2,2,postDur2,Switch,082622,-0.01898460791666284
experiment2,2,postDur2,Same,118354,0.006191193193935407
experiment2,2,postDur2,Switch,118354,0.030019061589622767
experiment2,2,postDur2,Same,169207,-0.02817099624599418
experiment2,2,postDur2,Switch,169207,-0.0867290190394939
experiment2,2,postDur2,Same,183923,0.10409795854191448
experiment2,2,postDur2,Switch,183923,0.07824480465946143
experiment2,2,postDur2,Same,184189,-0.0031168957471008714
experiment2,2,postDur2,Switch,184189,-0.015669629581395957
experiment2,2,postDur2,Same,189058,0.13995251454403157
experiment2,2,postDur2,Switch,189058,0.08412296767674202
experiment2,2,postDur2,Same,194491,-0.07846426504072146
experiment2,2,postDur2,Switch,194491,-0.16535768748900134
experiment2,2,postDur2,Same,203316,-0.030061597457098996
experiment2,2,postDur2,Switch,203316,0.0038894704576190736
