exp,model_id,model_name,mean_AIC,sem_AIC,mean_BIC,mean_RMSE,n_subjects,success_rate,delta_AIC
1,C5_S0_B1,C_Q1_R__S_baseline__B_B1,-72.3392243779486,18.160268092298434,-42.1661315744437,0.200394891936483,22,1.0,3.972014874481033
1,C5_S0_B3,C_Q1_R__S_baseline__B_B3,-72.33534446930328,18.160731026751957,-42.16225166579838,0.20039699808410089,22,1.0,3.97589478312635
1,C9_S1_B1,C_Q1_Q3__S_x_reset__B_B1,-72.30921068684269,18.37746080700451,-38.783552016281696,0.19957421627571942,22,1.0,4.00202856558694
1,C9_S1_B3,C_Q1_Q3__S_x_reset__B_B3,-72.30381971886453,18.376190101222928,-38.77816104830353,0.19957601399088887,22,1.0,4.007419533565098
1,C2_S2_B1,C_Q2__S_K_reset__B_B1,-72.29150548431386,18.301633436293894,-42.11841268080897,0.20049471739063504,22,1.0,4.0197337681157705
1,C2_S2_B3,C_Q2__S_K_reset__B_B3,-72.29106548624956,18.300397089515272,-42.117972682744664,0.20049432510891696,22,1.0,4.020173766180065
1,C6_S0_B1,C_Q2_R__S_baseline__B_B1,-72.13957025573305,18.14279266622382,-41.966477452228155,0.20049048449233303,22,1.0,4.171668996696582
1,C6_S0_B3,C_Q2_R__S_baseline__B_B3,-72.13945672376558,18.142710564651406,-41.96636392026067,0.20049049697137206,22,1.0,4.171782528664053
1,C5_S2_B2,C_Q1_R__S_K_reset__B_B2,-72.10465563855271,18.26430474151394,-38.57899696799171,0.19959860648728825,22,1.0,4.206583613876916
1,C8_S2_B3,C_Q1_Q2__S_K_reset__B_B3,-72.03044810937884,18.41829399501153,-38.504789438817845,0.1997194331065412,22,1.0,4.2807911430507914
1,C8_S2_B1,C_Q1_Q2__S_K_reset__B_B1,-72.01763094893664,18.41720319058896,-38.491972278375634,0.19972460387442856,22,1.0,4.293608303492988
1,C9_S0_B3,C_Q1_Q3__S_baseline__B_B3,-71.98308811145654,18.24910717318462,-41.80999530795163,0.20060712152902702,22,1.0,4.328151140973091
1,C9_S0_B1,C_Q1_Q3__S_baseline__B_B1,-71.98144646836839,18.24747059587953,-41.808353664863496,0.20060708598996416,22,1.0,4.32979278406124
1,C11_S1_B3,C_Q1_Q2_R__S_x_reset__B_B3,-71.79017192303884,18.451138582787458,-34.91194738542175,0.19890074782558662,22,1.0,4.521067329390789
1,C11_S1_B1,C_Q1_Q2_R__S_x_reset__B_B1,-71.77758988775702,18.44666579633566,-34.899365350139924,0.19890516978340378,22,1.0,4.533649364672613
1,C10_S1_B1,C_Q2_Q3__S_x_reset__B_B1,-71.7287459970913,18.3928425631946,-38.2030873265303,0.19985921999218112,22,1.0,4.582493255338335
1,C10_S1_B3,C_Q2_Q3__S_x_reset__B_B3,-71.72427124082544,18.394596704179722,-38.19861257026445,0.19986231596207962,22,1.0,4.586968011604185
1,C6_S2_B2,C_Q2_R__S_K_reset__B_B2,-71.66125789209758,18.241846878580205,-38.13559922153657,0.19980469521141975,22,1.0,4.649981360332049
1,C10_S0_B1,C_Q2_Q3__S_baseline__B_B1,-71.6453899677501,18.247057917789636,-41.4722971642452,0.2007738772790292,22,1.0,4.665849284679524
1,C10_S0_B3,C_Q2_Q3__S_baseline__B_B3,-71.6377489701284,18.247516305526197,-41.46465616662349,0.20077852402351193,22,1.0,4.6734902823012305
1,C15_S0_B2,C_Q1_Q2_Q3_R__S_baseline__B_B2,-71.61054646029665,18.29503699219322,-34.73232192267954,0.1989030451855214,22,1.0,4.700692792132983
1,C12_S2_B2,C_Q1_Q3_R__S_K_reset__B_B2,-71.57075346498863,18.3410345798094,-34.69252892737152,0.19894466714294265,22,1.0,4.740485787441003
1,C7_S1_B3,C_Q3_R__S_x_reset__B_B3,-71.40096581030676,18.251324668322763,-37.875307139745765,0.19994465112058243,22,1.0,4.910273442122872
1,C7_S1_B1,C_Q3_R__S_x_reset__B_B1,-71.39782666580214,18.251352846557893,-37.87216799524114,0.1999461804665181,22,1.0,4.913412586627487
1,C11_S0_B1,C_Q1_Q2_R__S_baseline__B_B1,-71.3144150067296,18.188456098740723,-37.78875633616861,0.1999495194638958,22,1.0,4.996824245700026
1,C11_S0_B3,C_Q1_Q2_R__S_baseline__B_B3,-71.31054847382298,18.188112858656506,-37.78488980326198,0.19995118597037023,22,1.0,5.0006907786066535
1,C14_S1_B3,C_Q1_Q2_Q3__S_x_reset__B_B3,-71.29102481193529,18.465315808268848,-34.412800274318194,0.1991487023940138,22,1.0,5.0202144404943425
1,C14_S1_B1,C_Q1_Q2_Q3__S_x_reset__B_B1,-71.2793279760213,18.464415917230106,-34.40110343840421,0.19915400959861307,22,1.0,5.031911276408323
1,C4_S2_B3,C_R__S_K_reset__B_B3,-71.26903540995623,18.039328619515516,-41.095942606451324,0.2008543432781886,22,1.0,5.042203842473398
1,C4_S2_B1,C_R__S_K_reset__B_B1,-71.2660099297315,18.03919690407275,-41.0929171262266,0.20085568176322902,22,1.0,5.045229322698134
1,C14_S0_B1,C_Q1_Q2_Q3__S_baseline__B_B1,-71.19196691557116,18.309335289399165,-37.666308245010164,0.2000656689235851,22,1.0,5.119272336858472
1,C14_S0_B3,C_Q1_Q2_Q3__S_baseline__B_B3,-71.18161761827973,18.308123996566827,-37.65595894771873,0.20007044278500627,22,1.0,5.129621634149899
1,C13_S2_B2,C_Q2_Q3_R__S_K_reset__B_B2,-71.16966334775114,18.283212031297303,-34.291438810134046,0.19911400879336905,22,1.0,5.14157590467849
1,C3_S2_B3,C_Q3__S_K_reset__B_B3,-71.10219143493443,18.21581689941627,-40.92909863142953,0.20101523542862224,22,1.0,5.209047817495204
1,C3_S2_B1,C_Q3__S_K_reset__B_B1,-71.08344408084541,18.212335335794208,-40.91035127734051,0.20102219211262415,22,1.0,5.227795171584219
1,C12_S1_B3,C_Q1_Q3_R__S_x_reset__B_B3,-71.03678503848045,18.428414032757203,-34.158560500863345,0.19924732784057267,22,1.0,5.274454213949184
1,C12_S1_B1,C_Q1_Q3_R__S_x_reset__B_B1,-71.03549725558817,18.42788285840459,-34.157272717971075,0.1992476719640198,22,1.0,5.275741996841461
1,C11_S2_B2,C_Q1_Q2_R__S_K_reset__B_B2,-70.99996338310456,18.304331657475196,-34.121738845487464,0.19919778646342856,22,1.0,5.311275869325073
1,C5_S2_B1,C_Q1_R__S_K_reset__B_B1,-70.98302298408838,18.218099823411546,-37.45736431352739,0.20011666473370174,22,1.0,5.328216268341251
1,C5_S2_B3,C_Q1_R__S_K_reset__B_B3,-70.98293498704464,18.217423294295926,-37.45727631648364,0.20011629383269158,22,1.0,5.328304265384986
1,C9_S2_B3,C_Q1_Q3__S_K_reset__B_B3,-70.84912702175575,18.3444416874404,-37.32346835119476,0.2002401914728688,22,1.0,5.462112230673881
1,C9_S2_B1,C_Q1_Q3__S_K_reset__B_B1,-70.83799551628667,18.343843067666604,-37.312336845725675,0.200245113889852,22,1.0,5.473243736142962
1,C7_S0_B3,C_Q3_R__S_baseline__B_B3,-70.77022454288318,18.022113298852894,-40.597131739378284,0.20108239227761107,22,1.0,5.541014709546445
1,C7_S0_B1,C_Q3_R__S_baseline__B_B1,-70.76533298911767,18.021775725812034,-40.59224018561277,0.20108453159772796,22,1.0,5.545906263311963
1,C6_S2_B3,C_Q2_R__S_K_reset__B_B3,-70.58149519186857,18.163005433680038,-37.055836521307576,0.20029274903061445,22,1.0,5.72974406056106
1,C6_S2_B1,C_Q2_R__S_K_reset__B_B1,-70.57868238923969,18.162134254581993,-37.053023718678695,0.2002936940782912,22,1.0,5.7325568631899415
1,C13_S1_B1,C_Q2_Q3_R__S_x_reset__B_B1,-70.45433557126222,18.364685214414028,-33.57611103364512,0.1994939026059633,22,1.0,5.85690368116741
1,C13_S1_B3,C_Q2_Q3_R__S_x_reset__B_B3,-70.45134606929258,18.36457337504216,-33.57312153167549,0.19949530267238122,22,1.0,5.859893183137046
1,C12_S0_B1,C_Q1_Q3_R__S_baseline__B_B1,-70.33878697970785,18.16062761779745,-36.813128309146855,0.20039522402963925,22,1.0,5.972452272721782
1,C12_S0_B3,C_Q1_Q3_R__S_baseline__B_B3,-70.3341411167134,18.16053690553878,-36.8084824461524,0.2003974633960029,22,1.0,5.977098135716233
1,C10_S2_B1,C_Q2_Q3__S_K_reset__B_B1,-70.28986392160238,18.302944762703362,-36.76420525104138,0.20049592002248212,22,1.0,6.021375330827254
1,C10_S2_B3,C_Q2_Q3__S_K_reset__B_B3,-70.28224744318236,18.30018107318502,-36.756588772621356,0.2004984987344944,22,1.0,6.028991809247273
1,C15_S2_B2,C_Q1_Q2_Q3_R__S_K_reset__B_B2,-70.22483200875072,18.37028899718091,-29.99404160407753,0.19865039935661874,22,1.0,6.086407243678906
1,C13_S0_B1,C_Q2_Q3_R__S_baseline__B_B1,-70.13699731840397,18.142554788003633,-36.61133864784297,0.20049158562138117,22,1.0,6.174241934025659
1,C13_S0_B3,C_Q2_Q3_R__S_baseline__B_B3,-70.13597408811587,18.14216991733598,-36.61031541755487,0.20049187143568795,22,1.0,6.175265164313757
1,C14_S2_B3,C_Q1_Q2_Q3__S_K_reset__B_B3,-70.01230661794176,18.417357981958933,-33.13408208032466,0.19972721392277126,22,1.0,6.298932634487869
1,C14_S2_B1,C_Q1_Q2_Q3__S_K_reset__B_B1,-70.00398805195647,18.411048541723535,-33.12576351433936,0.1997286488674207,22,1.0,6.307251200473161
1,C11_S2_B3,C_Q1_Q2_R__S_K_reset__B_B3,-69.98305926231842,18.27003367878023,-33.10483472470132,0.19967064081024982,22,1.0,6.3281799901112095
1,C11_S2_B1,C_Q1_Q2_R__S_K_reset__B_B1,-69.97930943324799,18.271536283063995,-33.1010848956309,0.1996728247006157,22,1.0,6.331929819181639
1,C15_S1_B1,C_Q1_Q2_Q3_R__S_x_reset__B_B1,-69.78100169257745,18.44317769390681,-29.550211287904247,0.198901709165772,22,1.0,6.530237559852182
1,C15_S1_B3,C_Q1_Q2_Q3_R__S_x_reset__B_B3,-69.77538699229223,18.44245399673841,-29.544596587619026,0.19890373011724202,22,1.0,6.535852260137403
1,C15_S0_B1,C_Q1_Q2_Q3_R__S_baseline__B_B1,-69.3221838711516,18.190465313872203,-32.4439593335345,0.19994685475507284,22,1.0,6.989055381278035
1,C15_S0_B3,C_Q1_Q2_Q3_R__S_baseline__B_B3,-69.30517197408503,18.185783814364886,-32.42694743646793,0.1999527458704491,22,1.0,7.006067278344602
1,C7_S2_B1,C_Q3_R__S_K_reset__B_B1,-69.26968100229618,18.03917276937439,-35.74402233173518,0.20085406095441452,22,1.0,7.041558250133448
1,C7_S2_B3,C_Q3_R__S_K_reset__B_B3,-69.26410463323954,18.03842618520437,-35.73844596267854,0.20085626799994757,22,1.0,7.047134619190089
1,C12_S2_B3,C_Q1_Q3_R__S_K_reset__B_B3,-68.97919133282997,18.21745328533849,-32.10096679521286,0.20011808597359887,22,1.0,7.33204791959966
1,C12_S2_B1,C_Q1_Q3_R__S_K_reset__B_B1,-68.9205099295555,18.197888839691732,-32.0422853919384,0.20013758615121635,22,1.0,7.390729322874137
1,C13_S2_B1,C_Q2_Q3_R__S_K_reset__B_B1,-68.5808171390001,18.162760801152352,-31.702592601383003,0.2002929614767445,22,1.0,7.730422113429526
1,C13_S2_B3,C_Q2_Q3_R__S_K_reset__B_B3,-68.58053764256054,18.16291905334214,-31.70231310494344,0.2002931420813532,22,1.0,7.730701609869087
1,C15_S2_B3,C_Q1_Q2_Q3_R__S_K_reset__B_B3,-68.00366954966296,18.2708736655565,-27.77287914498976,0.1996619125698615,22,1.0,8.30756970276667
1,C15_S2_B1,C_Q1_Q2_Q3_R__S_K_reset__B_B1,-67.99911033054141,18.26923859032913,-27.768319925868216,0.19966331154723604,22,1.0,8.312128921888217
2,C1_S0_B2,C_Q1__S_baseline__B_B2,-116.77443719565872,21.331492208728896,-89.88549123176371,0.18251563922180747,22,1.0,0.0
