Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1034.363100000024,86.0,2.0,1034.3631999999882,86.0,,,,1037.7275,1038.2266000000238,1037.211100000024,1037.727399999976,1035.379199999988,1037.211100000024,1038.2266000000238,1038.726300000012,1038.726300000012,1040.279699999988,958.0,1040.2798000000118,4.0,1040.28,2.0,25.0,85.0,25.0,1.0,0.8,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1040.280300000012,165.0,2.0,1040.2803999999762,165.0,,,,1044.074,1044.5715,1043.5558999999762,1044.0738999999762,1041.291,1043.555699999988,1044.5715,1045.070800000012,1045.070800000012,1046.624300000012,1139.0,1046.6243999999765,2.0,1046.6246000000235,2.0,26.0,86.0,2.0,1.0,1.2,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1046.625,300.0,2.0,1046.625,300.0,,,,1050.816300000012,1051.3158999999762,1050.300199999988,1050.816300000012,1047.6358000000118,1050.3001000000238,1051.3158999999762,1051.8151999999882,1051.815300000012,1054.1135,1697.0,1054.1135,4.0,1054.113699999988,2.0,27.0,87.0,14.0,1.0,1.6,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1054.114,188.0,2.0,1054.114100000024,188.0,,,,1058.077,1058.5763999999765,1057.560899999976,1058.077,1055.129800000012,1057.560800000012,1058.5763999999765,1059.076100000024,1059.076100000024,1061.2243999999762,1736.0,1061.2243999999762,4.0,1061.224600000024,2.0,28.0,88.0,18.0,1.0,1.4,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1061.224899999976,204.0,2.0,1061.225,204.0,,,,1064.7885,1065.2876000000238,1064.272600000024,1064.788300000012,1062.240699999988,1064.2725,1065.2876000000238,1065.787300000012,1065.787300000012,1067.755699999988,1341.0,1067.755800000012,5.0,1067.7558999999762,2.0,29.0,89.0,6.0,1.0,1.0,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1067.756100000024,357.0,3.0,1114.214199999988,357.0,s,46.43100000000004,,1118.1778999999765,1118.6771000000238,1117.661,1118.177800000012,1115.23,1117.6608999999762,1118.6771000000238,1119.1766999999882,1119.1766999999882,1121.229399999976,1530.0,1121.2295,4.0,1121.229800000012,3.0,0.0,90.0,18.0,1.0,1.4,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1121.230100000024,311.0,3.0,1121.231199999988,311.0,,,,1124.7891000000238,1125.288300000012,1124.2726999999882,1124.788899999976,1122.241,1124.2725,1125.288300000012,1125.7875,1125.7875,1127.4405,1097.0,1127.4406000000238,4.0,1127.4408999999762,3.0,1.0,91.0,16.0,1.0,1.0,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1127.4411999999882,72.0,3.0,1127.441300000012,72.0,,,,1131.6365,1132.1321999999882,1131.118600000024,1131.6363999999762,1128.4528000000118,1131.118600000024,1132.132300000012,1132.631699999988,1132.631699999988,1134.3851000000238,1378.0,1134.3851000000238,2.0,1134.385300000012,3.0,2.0,92.0,4.0,1.0,1.6,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1134.3855,138.0,3.0,1134.385699999988,138.0,,,,1138.544199999988,1139.043399999976,1138.030899999976,1138.544100000024,1135.3966999999882,1138.0308000000118,1139.043399999976,1139.543300000012,1139.543300000012,1141.5785,1671.0,1141.5785,3.0,1141.578699999988,3.0,3.0,93.0,29.0,1.0,1.6,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1141.578899999976,263.0,3.0,1141.578899999976,263.0,,,,1145.371800000012,1145.871199999988,1144.860199999988,1145.371699999988,1142.5908999999765,1144.86,1145.871199999988,1146.371100000024,1146.371199999988,1148.157199999988,1408.0,1148.157300000012,4.0,1148.157600000024,3.0,4.0,94.0,22.0,1.0,1.2,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1148.158,311.0,3.0,1148.1581000000238,311.0,,,,1152.3166000000238,1152.8151999999882,1151.800199999988,1152.3165,1149.168800000012,1151.8001000000238,1152.815300000012,1153.3151999999882,1153.3151999999882,1155.8168999999762,2106.0,1155.8168999999762,5.0,1155.817100000024,3.0,5.0,95.0,9.0,1.0,1.6,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1155.8173999999765,240.0,3.0,1155.8175,240.0,,,,1159.577,1160.0763999999765,1159.0603999999762,1159.576899999976,1156.829,1159.060300000012,1160.0763999999765,1160.5758999999762,1160.5758999999762,1163.0071999999882,1672.0,1163.0071999999882,5.0,1163.007399999976,3.0,6.0,96.0,7.0,1.0,1.2,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1163.0076000000238,340.0,3.0,1163.007699999988,340.0,,,,1166.804199999988,1167.303399999976,1166.288800000012,1166.804100000024,1164.023,1166.288699999988,1167.303399999976,1167.803199999988,1167.803199999988,1169.9725,1825.0,1169.9725,5.0,1169.972699999988,3.0,7.0,97.0,2.0,1.0,1.2,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1169.973,288.0,3.0,1169.9731000000238,288.0,,,,1174.131699999988,1174.630800000012,1173.6201000000235,1174.1315,1170.971199999988,1173.62,1174.6308999999762,1175.130300000012,1175.130300000012,1177.283,1820.0,1177.2831000000238,4.0,1177.283300000012,3.0,8.0,98.0,19.0,1.0,1.6,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1177.2835,269.0,3.0,1177.283699999988,269.0,,,,1180.842699999988,1181.342,1180.326699999988,1180.8426000000238,1178.295100000024,1180.3265,1181.342,1181.841300000012,1181.841399999976,1183.3785,1111.0,1183.3785,4.0,1183.378800000012,3.0,9.0,99.0,6.0,1.0,1.0,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1183.3791000000238,167.0,3.0,1183.379300000012,167.0,,,,1187.3708999999762,1187.8698999999765,1186.8548999999762,1187.370800000012,1184.3898999999765,1186.854800000012,1187.87,1188.369600000024,1188.369699999988,1191.233800000012,1247.0,1191.233800000012,2.0,1191.234,3.0,10.0,100.0,23.0,1.0,1.4,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1191.234300000012,254.0,3.0,1191.2345,254.0,,,,1194.598,1195.097199999988,1194.081600000024,1194.597899999976,1192.250199999988,1194.0815,1195.097199999988,1195.597,1195.597,1197.4455,1065.0,1197.4455,5.0,1197.445800000012,3.0,11.0,101.0,15.0,1.0,0.8,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1197.4461000000238,308.0,3.0,1197.446300000012,308.0,,,,1200.8093999999762,1201.3091000000238,1200.293399999976,1200.8093999999762,1198.461600000024,1200.293300000012,1201.3091000000238,1201.808199999988,1201.808199999988,1203.5621000000235,811.0,1203.562199999988,3.0,1203.5623999999762,3.0,12.0,102.0,25.0,1.0,0.8,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1203.562699999988,327.0,3.0,1203.562800000012,327.0,,,,1207.5538999999762,1208.053399999976,1207.041800000012,1207.5538999999762,1204.5736000000238,1207.0416999999882,1208.0535,1208.553,1208.553,1210.572399999976,1529.0,1210.5725,4.0,1210.572699999988,3.0,13.0,103.0,3.0,1.0,1.4,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1210.573,19.0,3.0,1210.573199999988,19.0,,,,1214.331600000024,1214.830800000012,1213.815699999988,1214.3315,1211.584,1213.8156000000238,1214.830800000012,1215.330600000024,1215.330600000024,1217.0333999999762,1334.0,1217.0333999999762,4.0,1217.0335,3.0,14.0,104.0,27.0,1.0,1.2,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1217.033699999988,37.0,3.0,1217.033800000012,37.0,,,,1220.393100000024,1220.892399999976,1219.877600000024,1220.393100000024,1218.0455,1219.8775,1220.892399999976,1221.392300000012,1221.392399999976,1223.078899999976,1077.0,1223.079,5.0,1223.079199999988,3.0,15.0,105.0,5.0,1.0,0.8,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1223.079600000024,233.0,3.0,1223.0796999999882,233.0,,,,1226.855100000024,1227.353800000012,1226.3386999999882,1226.855,1224.093399999976,1226.3386999999882,1227.353800000012,1227.853800000012,1227.8538999999762,1229.7905,1229.0,1229.7905,3.0,1229.7906999999882,3.0,16.0,106.0,17.0,1.0,1.2,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1229.791,122.0,3.0,1229.791199999988,122.0,,,,1233.7351000000235,1234.231600000024,1233.233300000012,1233.7351000000235,1230.8016999999882,1233.2331000000238,1234.231600000024,1234.7313999999762,1234.7313999999762,1236.796399999976,1578.0,1236.7965,4.0,1236.796699999988,3.0,17.0,107.0,8.0,1.0,1.4,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1236.7968999999762,272.0,3.0,1236.797100000024,272.0,,,,1240.393699999988,1240.892800000012,1239.8773999999762,1240.3935,1237.812199999988,1239.877300000012,1240.892800000012,1241.3921999999882,1241.392300000012,1243.5238999999765,1396.0,1243.5238999999765,5.0,1243.524,3.0,18.0,108.0,1.0,1.0,1.0,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1243.524300000012,149.0,3.0,1243.524300000012,149.0,,,,1246.9215,1247.420699999988,1246.405199999988,1246.921399999976,1244.540199999988,1246.4051000000238,1247.420699999988,1247.9205,1247.9205,1249.2695,937.0,1249.269600000024,4.0,1249.269800000012,3.0,19.0,109.0,20.0,1.0,0.8,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1249.27,203.0,3.0,1249.2701000000238,203.0,,,,1252.6666999999882,1253.166,1252.154,1252.666600000024,1250.2855,1252.153899999976,1253.1661000000238,1253.6656999999882,1253.6656999999882,1255.067,656.0,1255.067100000024,2.0,1255.067300000012,3.0,20.0,110.0,10.0,1.0,0.8,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1255.0675,68.0,3.0,1255.0675,68.0,,,,1258.628600000024,1259.127899999976,1258.1123000000118,1258.6283999999762,1256.080800000012,1258.112199999988,1259.127899999976,1259.627600000024,1259.6276999999882,1261.725600000024,1579.0,1261.725600000024,5.0,1261.725800000012,3.0,21.0,111.0,26.0,1.0,1.0,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1261.726,48.0,3.0,1261.726199999988,48.0,,,,1265.3233000000118,1265.822199999988,1264.807,1265.323199999988,1262.742,1264.807,1265.822199999988,1266.3218999999765,1266.3218999999765,1267.821199999988,1007.0,1267.821199999988,3.0,1267.8215,3.0,22.0,112.0,11.0,1.0,1.0,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1267.821699999988,68.0,3.0,1267.821800000012,68.0,,,,1271.218,1271.717,1270.7051000000238,1271.217800000012,1268.836600000024,1270.705,1271.717100000024,1272.216699999988,1272.216699999988,1273.982300000012,1097.0,1273.9823999999762,5.0,1273.982600000024,3.0,23.0,113.0,0.0,1.0,0.8,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,1273.9826999999882,82.0,3.0,1273.982899999976,82.0,,,,1277.946,1278.4453999999762,1277.4301999999882,1277.945899999976,1274.9986000000238,1277.43,1278.4453999999762,1278.944899999976,1278.945,1281.126199999988,1759.0,1281.126300000012,4.0,1281.1265,3.0,24.0,114.0,28.0,1.0,1.4,0.7,Time
