Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,325.1146,0,325.1147,,,,327.864,328.3635,327.3477,327.8639,326.1315,143,327.3475,328.3635,328.8632,328.8632,330.063,1185,330.0632,3,331.0627,0,19,19,27,1,1.2,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,331.0632,0,331.0634,,,,333.6124,334.1117,333.0959,333.6122,332.0791,277,333.0958,334.1118,334.6117,334.6118,335.8114,1132.2,335.8117,4,336.8108,0,20,20,6,1,1,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,336.8112,0,336.8114,,,,339.5603,340.0601,339.0438,339.5603,337.8276,358,339.0437,340.0601,340.5596,340.5596,341.4592,882.9000001,341.4595,2,342.4591,0,21,21,2,1,1.2,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,342.4596,0,342.4598,,,,345.4084,345.9076,344.8919,345.4083,343.4757,61,344.8918,345.9077,346.4078,346.408,348.0572,1613,348.0575,4,349.0569,0,22,22,13,1,1.4,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,349.0576,0,349.0577,,,,352.0065,352.5055,351.4911,352.0064,350.0738,276,351.4909,352.5056,353.0057,353.0058,355.8715,2829.7,355.8717,5,356.8711,0,23,23,3,1,1.4,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,356.8715,0,356.8717,,,,359.8211,360.3197,359.3041,359.821,357.8879,48,359.304,360.3197,360.8201,360.8202,360.8398,0.699999809,360.8401,1,361.8364,0,24,24,23,1,1.4,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,361.8369,0,361.8371,,,,364.5856,365.0855,364.0696,364.5855,362.8532,197,364.0695,365.0855,365.5853,365.5854,369.4675,3863.9,369.4678,5,370.4669,0,25,25,12,1,1.2,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,370.4676,0,370.4678,,,,373.2163,373.7158,372.7,373.2162,371.4836,147,372.6999,373.7159,374.2157,374.2158,375.0324,473.3999996,375.0327,1,376.0321,0,26,26,17,1,1.2,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,376.0326,0,376.0328,,,,379.1813,379.6806,378.6647,379.1812,377.0486,193,378.6646,379.6807,380.1804,380.1805,384.1631,3964.6,384.1634,5,385.1624,0,27,27,19,1,1.6,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,385.163,0,385.1632,,,,387.5121,388.0114,386.9958,387.512,386.1789,174,386.9957,388.0115,388.5114,388.5114,392.6935,3506.8,392.6937,5,393.6931,0,28,28,25,1,0.8,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,393.6936,0,393.6938,,,,396.2427,400.1164,395.7265,396.2426,394.7099,11,395.7264,400.1164,400.1166,400.1166,400.6743,541.6999998,400.6748,1,401.6743,0,29,29,21,1,1,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,401.675,1,404.9726,s,3.2654,,407.7222,408.2217,407.2054,407.722,405.9898,291,407.2053,408.2218,408.7212,408.7213,411.4545,2456.1,411.4548,5,412.4538,1,0,30,27,1,1.2,0.7,Time
